Loading checkpoint...
Blue team baselineTeam with {'numTraining': 9}:
Loading Team: baselineTeam.py
Arguments: {'numTraining': 9}
Playing 9 training games
Red team starts
27796 11692.778
27797 14906.186
27798 19459.682
27799 20198.867
27800 14798.689
27801 14839.533
27802 15408.222
27803 15896.729
27804 16081.275
27805 15683.783
27806 17122.523
27807 17854.314
27808 18335.957
27809 19786.36
27810 12771.191
27811 20093.346
27812 25883.63
27813 17228.842
27814 13848.25
27815 15595.021
27816 16957.191
27817 28601.426
27818 24657.07
27819 13514.53
27820 15468.338
27821 30783.957
27822 22169.73
27823 26187.78
27824 19611.924
27825 14581.842
27826 23130.7
27827 13650.836
27828 19479.643
27829 18453.715
27830 21702.902
27831 18662.7
27832 9404.296
27833 7327.507
27834 19154.824
27835 20089.547
27836 30666.822
27837 20782.16
27838 7672.514
27839 13836.649
27840 22648.568
27841 26982.324
27842 8837.345
27843 29653.25
27844 13388.211
27845 11819.095
27846 16199.958
27847 18069.334
27848 25151.55
27849 15321.033
27850 20097.729
27851 27506.36
27852 43948.227
27853 37959.08
27854 55729.195
27855 19749.219
27856 42220.344
27857 22527.766
27858 46281.734
27859 56732.01
27860 51846.793
27861 37699.844
27862 43776.438
27863 31233.457
27864 31636.328
27865 59715.56
27866 31300.398
27867 26535.643
27868 40965.1
27869 50257.594
27870 37997.145
27871 24440.258
27872 35609.04
27873 19817.285
27874 27845.697
27875 23102.193
27876 42135.133
27877 48895.746
27878 48425.94
27879 40394.11
27880 53083.586
27881 27503.93
27882 32510.125
27883 8253.486
27884 48122.58
27885 41584.49
27886 29273.686
27887 27704.443
27888 39165.164
27889 50170.45
27890 27268.045
27891 21555.994
27892 48484.09
27893 30010.893
27894 39682.914
27895 33633.445
27896 29425.777
27897 23208.812
27898 28930.684
27899 17356.264
27900 10982.609
27901 39497.75
27902 25808.16
27903 49830.664
27904 14313.899
27905 42471.293
27906 16988.883
27907 32993.445
27908 25070.164
27909 28043.11
GAME IS OVER
27910 674109.8
#    1 | steps:   216 | steps_t: 27910 | t: 12.033559 | r: -4170.000000 | e:   0.441800 | Q: -186.895752 | won: False
Red team starts
27911 8758.674
27912 672300.7
27913 18041.672
27914 39347.28
27915 18051.518
27916 41057.12
27917 22076.41
27918 18561.297
27919 671998.75
27920 14427.289
27921 47124.305
27922 34298.68
27923 22283.316
27924 22206.66
27925 27332.213
27926 31096.232
27927 36961.887
27928 48422.113
27929 26807.096
27930 8753.395
27931 12753.557
27932 31381.754
