Blue team baselineTeam with {'numTraining': 990}:
Loading Team: baselineTeam.py
Arguments: {'numTraining': 990}
Playing 990 training games
Red team starts
GAME IS OVER
#    1 | steps:   301 | steps_t:     0 | t: 23.163448 | r: -3450.000000 | e:   1.000000 | Q:   0.122341 | won: True
Red team starts
GAME IS OVER
#    2 | steps:   602 | steps_t:     0 | t: 28.386407 | r:  -180.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#    3 | steps:   903 | steps_t:     0 | t: 33.334294 | r:  -110.000000 | e:   1.000000 | Q:        nan | won: True
Blue team starts
GAME IS OVER
#    4 | steps:  1204 | steps_t:     0 | t: 37.637397 | r: -3770.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#    5 | steps:  1421 | steps_t:     0 | t: 41.343732 | r: -6590.000000 | e:   1.000000 | Q:        nan | won: False
Red team starts
GAME IS OVER
#    6 | steps:  1591 | steps_t:     0 | t: 42.624955 | r: -1360.000000 | e:   1.000000 | Q:        nan | won: False
Blue team starts
GAME IS OVER
#    7 | steps:  1811 | steps_t:     0 | t: 46.551447 | r: -11010.000000 | e:   1.000000 | Q:        nan | won: False
Red team starts
GAME IS OVER
#    8 | steps:  2112 | steps_t:     0 | t: 51.320736 | r: -6410.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#    9 | steps:  2330 | steps_t:     0 | t: 53.964004 | r: -10200.000000 | e:   1.000000 | Q:        nan | won: False
Blue team starts
GAME IS OVER
#   10 | steps:  2545 | steps_t:     0 | t: 57.906626 | r: -10260.000000 | e:   1.000000 | Q:        nan | won: False
Red team starts
GAME IS OVER
#   11 | steps:  2846 | steps_t:     0 | t: 60.981437 | r: -9420.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#   12 | steps:  3064 | steps_t:     0 | t: 64.051076 | r: -5790.000000 | e:   1.000000 | Q:        nan | won: False
Red team starts
GAME IS OVER
#   13 | steps:  3283 | steps_t:     0 | t: 67.694303 | r: -9890.000000 | e:   1.000000 | Q:        nan | won: False
Blue team starts
GAME IS OVER
#   14 | steps:  3584 | steps_t:     0 | t: 72.410242 | r: -8660.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#   15 | steps:  3885 | steps_t:     0 | t: 76.250724 | r:  3050.000000 | e:   1.000000 | Q:        nan | won: True
Red team starts
GAME IS OVER
#   16 | steps:  4055 | steps_t:     0 | t: 77.765962 | r: -10100.000000 | e:   1.000000 | Q:        nan | won: False
Blue team starts
GAME IS OVER
